original ID,Individual recoded,Trial,Box,Box recoded,Family (old),Family NEW,Donor (D) / Receptor (R),Weight start (g),Weight  end or death (g),Description of symptoms,Day of first symptoms,Day of death,parasites,Donor (D) / Receptor (R),Donor fam,Family combinations,Original sire ID,Sire_rec,Original sire ID,Dam_rec,Sex,Genotype,Weight start (g),Weight category,Description of symptoms,Ascite,Belly up,Color change,Haemorragia,Depigmentation,Erratic swimming,Wound,Day start to end (resilience),Days onset symptoms (susceptibility),Days onset to death (tolerance) ,Removed (yes/no),"Resilience (0 dead/UC, 1 survive/C)","Resistance (0 dead/UC, 1 survive/C)","Tolerance (0 dead/UC, 1 survive/C)"
1046,946,2,2,38,53,53,R,59.4,74.7,NA,NA,2015-05-07,yes,R,31,11,FB-Y-100,34,FB-X-279,12,Male,Yes,59.4,6,NA,,,,,,,,111,NA,NA,no,0,no,no
1047,947,2,2,38,53,53,R,50.9,43.4,color change,2015-03-09,2015-03-12,yes,R,31,11,FB-Y-100,34,FB-X-279,12,NA,Yes,50.9,6,color change,,,x,,,,,55,52,3,no,0,0,0
1048,948,2,2,38,53,53,R,82.8,67.9,color change,2015-04-12,2015-04-29,yes,R,31,11,FB-Y-100,34,FB-X-279,12,Male,Yes,82.8,8,color change,,,x,,,,,103,86,17,no,0,0,0
1049,949,2,2,38,53,53,R,46.2,97.9,color change,2015-05-01,2015-05-07,yes,R,31,11,FB-Y-100,34,FB-X-279,12,Male,Yes,46.2,5,color change,,,x,,,,,111,105,6,no,0,0,0
1050,950,2,2,38,53,53,R,66.7,81.8,exopthalmia,2015-05-03,2015-05-17,yes,R,31,11,FB-Y-100,34,FB-X-279,12,Male,Yes,66.7,7,exopthalmia,,,,,,x,,121,107,14,no,0,0,0
1051,951,2,3,39,31,31,D,155.3,173.5,NA,NA,2015-06-25,slaughtered,D,D,12,FB-Y-75,20,FB-X-234,29,NA,Yes,155.3,10,NA,,,,,,,,160,160,NA,no,1,no,no
1052,952,2,3,39,31,31,D,120.6,186.1,NA,NA,2015-06-10,yes,D,D,12,FB-Y-75,20,FB-X-234,29,NA,Yes,120.6,10,NA,,,,,,,,145,NA,NA,no,no,no,no
1053,953,2,3,39,31,31,D,100.8,161.6,NA,NA,2015-06-25,slaughtered,D,D,12,FB-Y-75,20,FB-X-234,29,NA,Yes,100.8,9,NA,,,,,,,,160,160,NA,no,1,no,no
1054,954,2,3,39,31,31,D,101,192.6,NA,NA,2015-06-25,slaughtered,D,D,12,FB-Y-75,20,FB-X-234,29,NA,Yes,101,9,NA,,,,,,,,160,160,NA,no,1,no,no
1055,955,2,3,39,31,31,D,77.8,109.8,NA,NA,2015-06-25,slaughtered,D,D,12,FB-Y-75,20,FB-X-234,29,NA,Yes,77.8,7,NA,,,,,,,,160,160,NA,no,1,no,no
1056,956,2,3,39,47,47,R,114.8,107.6,exopthalmia,2015-04-11,2015-05-11,yes,R,31,12,FB-Y-131,30,FB-X-232,28,Male,Yes,114.8,10,exopthalmia,,,,,,x,,115,85,30,no,0,0,0
1057,957,2,3,39,47,47,R,98.4,106.4,NA,NA,2015-05-14,yes,R,31,12,FB-Y-131,30,FB-X-232,28,NA,Yes,98.4,9,NA,,,,,,,,118,NA,NA,no,0,no,no
1058,958,2,3,39,47,47,R,98,91.5,color change,2015-05-09,2015-05-18,yes,R,31,12,FB-Y-131,30,FB-X-232,28,Male,Yes,98,9,color change,,,x,,,,,122,113,9,no,0,0,0
1059,959,2,3,39,47,47,R,61.8,55.6,color change,2015-05-05,2015-05-13,yes,R,31,12,FB-Y-131,30,FB-X-232,28,Male,Yes,61.8,6,color change,,,x,,,,,117,109,8,no,0,0,0
1060,960,2,3,39,47,47,R,87.3,105.9,NA,NA,2015-06-25,slaughtered,R,31,12,FB-Y-131,30,FB-X-232,28,Male,Yes,87.3,8,NA,,,,,,,,160,160,NA,no,1,1,no
1061,961,2,3,39,56,56,R,112.2,136.8,NA,NA,2015-05-19,yes,R,31,12,FB-Y-7,14,FB-X-169,19,Female,Yes,112.2,9,NA,,,,,,,,123,NA,NA,no,0,no,no
1062,962,2,3,39,56,56,R,135.7,149.7,color change,2015-05-09,2015-05-12,yes,R,31,12,FB-Y-7,14,FB-X-169,19,Female,Yes,135.7,10,color change,,,x,,,,,116,113,3,no,0,0,0
1063,963,2,3,39,56,56,R,98.2,126.5,color change,2015-05-16,2015-05-22,yes,R,31,12,FB-Y-7,14,FB-X-169,19,Female,Yes,98.2,9,color change,,,x,,,,,126,120,6,no,0,0,0
1064,964,2,3,39,56,56,R,106,171.9,NA,NA,2015-06-25,slaughtered,R,31,12,FB-Y-7,14,FB-X-169,19,Female,Yes,106,9,NA,,,,,,,,160,160,NA,no,1,1,no
1065,965,2,3,39,56,56,R,107.2,104.8,exopthalmia,2015-05-02,2015-05-18,yes,R,31,12,FB-Y-7,14,FB-X-169,19,Male,Yes,107.2,9,exopthalmia,,,,,,x,,122,106,16,no,0,0,0
1066,966,2,3,39,54,54,R,43.7,60.6,color change,2015-06-17,2015-06-25,slaughtered,R,31,12,FB-Y-92,25,FB-X-7,17,Female,Yes,43.7,5,color change,,,x,,,,,160,152,8,no,1,0,1
1067,967,2,3,39,54,54,R,77.2,86.3,NA,NA,2015-05-15,yes,R,31,12,FB-Y-92,25,FB-X-7,17,Male,Yes,77.2,7,NA,,,,,,,,119,NA,NA,no,0,no,no
1068,968,2,3,39,54,54,R,87.3,118.3,NA,NA,2015-06-25,slaughtered,R,31,12,FB-Y-92,25,FB-X-7,17,Male,Yes,87.3,8,NA,,,,,,,,160,160,NA,no,1,1,no
1069,969,2,3,39,54,54,R,84.4,129.2,NA,NA,2015-06-25,slaughtered,R,31,12,FB-Y-92,25,FB-X-7,17,Female,Yes,84.4,8,NA,,,,,,,,160,160,NA,no,1,1,no
1070,970,2,3,39,54,54,R,61.8,106.9,NA,NA,2015-06-25,slaughtered,R,31,12,FB-Y-92,25,FB-X-7,17,Male,Yes,61.8,6,NA,,,,,,,,160,160,NA,no,1,1,no
1071,971,2,3,39,63,63,R,94.4,134.9,NA,NA,2015-06-25,slaughtered,R,31,12,FB-Y-143,36,FB-X-282,22,Female,Yes,94.4,8,NA,,,,,,,,160,160,NA,no,1,1,no
1072,972,2,3,39,63,63,R,103.9,207.4,NA,NA,2015-06-25,slaughtered,R,31,12,FB-Y-143,36,FB-X-282,22,Male,Yes,103.9,9,NA,,,,,,,,160,160,NA,no,1,1,no
1073,973,2,3,39,63,63,R,64.3,82.9,NA,NA,2015-05-13,yes,R,31,12,FB-Y-143,36,FB-X-282,22,Male,Yes,64.3,6,NA,,,,,,,,117,NA,NA,yes,no,no,no
1074,974,2,3,39,63,63,R,97,122.1,NA,NA,2015-05-17,yes,R,31,12,FB-Y-143,36,FB-X-282,22,Male,Yes,97,8,NA,,,,,,,,121,NA,NA,no,0,no,no
1075,975,2,3,39,63,63,R,92.3,113.5,erratic swimming,2015-05-13,2015-06-10,yes,R,31,12,FB-Y-143,36,FB-X-282,22,Male,Yes,92.3,8,erratic swimming,,,,,,x,,145,117,28,no,0,0,0
1076,976,2,4,40,31,31,D,126.7,133.7,color change,2015-05-09,2015-05-12,yes,D,D,13,FB-Y-75,20,FB-X-234,29,NA,Yes,126.7,10,color change,,,x,,,,,116,113,3,no,1,0,0
1077,977,2,4,40,31,31,D,137.9,179.4,color change,2015-04-28,2015-05-12,yes,D,D,13,FB-Y-75,20,FB-X-234,29,NA,Yes,137.9,10,color change,,,x,,,,,116,102,14,no,1,0,0
1078,978,2,4,40,31,31,D,71.5,67.8,color change,2015-01-19,2015-02-06,yes,D,D,13,FB-Y-75,20,FB-X-234,29,NA,Yes,71.5,7,color change,,,x,,,,,21,3,18,no,1,0,0
1079,979,2,4,40,31,31,D,108,123.3,exopthalmia,2015-05-03,2015-05-12,yes,D,D,13,FB-Y-75,20,FB-X-234,29,NA,Yes,108,9,exopthalmia,,,,,,x,,116,107,9,no,1,0,0
1080,980,2,4,40,31,31,D,158.3,143.9,exopthalmia,2015-04-26,2015-05-12,yes,D,D,13,FB-Y-75,20,FB-X-234,29,NA,Yes,158.3,10,exopthalmia,,,,,,x,,116,100,16,no,1,0,0
1081,981,2,4,40,45,45,R,98.6,81.7,NA,NA,2015-05-12,yes,R,31,13,FB-Y-64,17,FB-X-188,27,Female,Yes,98.6,9,NA,,,,,,,,116,NA,NA,no,0,no,no
1082,982,2,4,40,45,45,R,86.7,93.8,NA,NA,2015-05-13,yes,R,31,13,FB-Y-64,17,FB-X-188,27,Male,Yes,86.7,8,NA,,,,,,,,117,NA,NA,no,0,no,no
1083,983,2,4,40,45,45,R,87.5,92,NA,NA,2015-05-12,yes,R,31,13,FB-Y-64,17,FB-X-188,27,Female,Yes,87.5,8,NA,,,,,,,,116,NA,NA,no,0,no,no
1084,984,2,4,40,45,45,R,83.4,70.6,NA,NA,2015-05-14,yes,R,31,13,FB-Y-64,17,FB-X-188,27,Female,Yes,83.4,8,NA,,,,,,,,118,NA,NA,no,0,no,no
1085,985,2,4,40,45,45,R,57.5,54.5,NA,NA,2015-05-12,yes,R,31,13,FB-Y-64,17,FB-X-188,27,Female,Yes,57.5,6,NA,,,,,,,,116,NA,NA,no,0,no,no
1086,986,2,4,40,50,70,R,96,121.3,NA,NA,2015-05-12,yes,R,31,13,FB-Y-89,24,FB-X-7,17,Male,Yes,96,8,NA,,,,,,,,116,NA,NA,no,0,no,no
1087,987,2,4,40,50,70,R,71.8,96.3,NA,NA,2015-05-12,yes,R,31,13,FB-Y-89,24,FB-X-7,17,Male,Yes,71.8,7,NA,,,,,,,,116,NA,NA,no,0,no,no
1088,988,2,4,40,50,70,R,101.2,102.9,color change,2015-05-08,2015-05-13,yes,R,31,13,FB-Y-89,24,FB-X-7,17,Female,Yes,101.2,9,color change,,,x,,,,,117,112,5,no,0,0,0
1089,989,2,4,40,50,70,R,62.1,78.9,color change,2015-04-23,2015-05-12,yes,R,31,13,FB-Y-89,24,FB-X-7,17,Male,Yes,62.1,6,color change,,,x,,,,,116,97,19,no,0,0,0
1090,990,2,4,40,50,70,R,58.9,62.2,NA,NA,2015-05-12,yes,R,31,13,FB-Y-89,24,FB-X-7,17,Female,Yes,58.9,6,NA,,,,,,,,116,NA,NA,no,0,no,no
1091,991,2,4,40,36,36,R,114.1,116.1,NA,NA,2015-05-12,yes,R,31,13,FB-Y-35,15,FB-X-279,12,Male,Yes,114.1,10,NA,,,,,,,,116,NA,NA,no,0,no,no
1092,992,2,4,40,36,36,R,120.2,108.5,exopthalmia,2015-05-07,2015-05-30,yes,R,31,13,FB-Y-35,15,FB-X-279,12,Male,Yes,120.2,10,exopthalmia,,,,,,x,,134,111,23,no,0,0,0
1093,993,2,4,40,36,36,R,90.6,102.8,NA,NA,2015-05-12,yes,R,31,13,FB-Y-35,15,FB-X-279,12,Male,Yes,90.6,8,NA,,,,,,,,116,NA,NA,no,0,no,no
1094,994,2,4,40,36,36,R,113.5,123.7,exopthalmia,2015-04-21,2015-05-11,yes,R,31,13,FB-Y-35,15,FB-X-279,12,Male,Yes,113.5,10,exopthalmia,,,,,,x,,115,95,20,no,0,0,0
1095,995,2,4,40,36,36,R,130.4,119.8,NA,NA,2015-05-13,yes,R,31,13,FB-Y-35,15,FB-X-279,12,Male,Yes,130.4,10,NA,,,,,,,,117,NA,NA,no,0,no,no
1096,996,2,4,40,42,42,R,60.8,77.4,NA,NA,2015-05-12,yes,R,31,13,FB-Y-66,19,FB-X-189,20,Male,Yes,60.8,6,NA,,,,,,,,116,NA,NA,no,0,no,no
1097,997,2,4,40,42,42,R,89.1,81.9,NA,NA,2015-05-12,yes,R,31,13,FB-Y-66,19,FB-X-189,20,Male,Yes,89.1,8,NA,,,,,,,,116,NA,NA,no,0,no,no
1098,998,2,4,40,42,42,R,102.7,122.3,NA,NA,2015-05-12,yes,R,31,13,FB-Y-66,19,FB-X-189,20,Male,Yes,102.7,9,NA,,,,,,,,116,NA,NA,no,0,no,no
1099,999,2,4,40,42,42,R,73,68.3,NA,NA,2015-05-12,yes,R,31,13,FB-Y-66,19,FB-X-189,20,Male,Yes,73,7,NA,,,,,,,,116,NA,NA,no,0,no,no
1100,1000,2,4,40,42,42,R,111.7,87.8,NA,NA,2015-05-26,yes,R,31,13,FB-Y-66,19,FB-X-189,20,Male,Yes,111.7,9,NA,,,,,,,,130,NA,NA,no,0,no,no
1101,1001,2,5,41,31,31,D,163,252.8,NA,NA,2015-06-25,slaughtered,D,D,14,FB-Y-75,20,FB-X-234,29,NA,Yes,163,10,NA,,,,,,,,160,160,NA,no,1,no,no
1102,1002,2,5,41,31,31,D,166,247.2,NA,NA,2015-06-25,slaughtered,D,D,14,FB-Y-75,20,FB-X-234,29,NA,Yes,166,10,NA,,,,,,,,160,160,NA,no,1,no,no
1103,1003,2,5,41,31,31,D,79,70.5,color change,2015-02-08,2015-02-10,yes,D,D,14,FB-Y-75,20,FB-X-234,29,NA,Yes,79,7,color change,,,x,,,,,25,23,2,no,1,0,0
1104,1004,2,5,41,31,31,D,131.5,156.8,NA,NA,2015-06-25,slaughtered,D,D,14,FB-Y-75,20,FB-X-234,29,NA,Yes,131.5,10,NA,,,,,,,,160,160,NA,no,1,no,no
1105,1005,2,5,41,31,31,D,97.2,84.3,NA,NA,2015-02-14,yes,D,D,14,FB-Y-75,20,FB-X-234,29,NA,Yes,97.2,9,NA,,,,,,,,29,NA,NA,no,1,no,no
1106,1006,2,5,41,59,43,R,62.8,52.5,NA,NA,2015-05-12,yes,R,31,14,FB-Y-66,19,FB-X-302,16,Female,Yes,62.8,6,NA,,,,,,,,116,NA,NA,no,0,no,no
1107,1007,2,5,41,59,59,R,74.9,81.6,NA,NA,2015-06-25,slaughtered,R,31,14,FB-Y-159,6,FB-X-334,5,Male,Yes,74.9,7,NA,,,,,,,,160,160,NA,no,1,1,no
1108,1008,2,5,41,59,59,R,75,96.4,NA,NA,2015-06-25,slaughtered,R,31,14,FB-Y-159,6,FB-X-334,5,Male,Yes,75,7,NA,,,,,,,,160,160,NA,no,1,1,no
1109,1009,2,5,41,59,59,R,111.2,108.4,NA,NA,2015-05-13,yes,R,31,14,FB-Y-159,6,FB-X-334,5,Female,Yes,111.2,9,NA,,,,,,,,117,NA,NA,no,0,no,no
1110,1010,2,5,41,59,59,R,115.8,126.1,NA,NA,2015-05-15,yes,R,31,14,FB-Y-159,6,FB-X-334,5,Female,Yes,115.8,10,NA,,,,,,,,119,NA,NA,no,0,no,no
1111,1011,2,5,41,60,60,R,116.8,127.4,NA,NA,2015-05-17,yes,R,31,14,FB-Y-112,28,FB-X-188,27,Female,Yes,116.8,10,NA,,,,,,,,121,NA,NA,no,0,no,no
1112,1012,2,5,41,60,60,R,57,45.7,color change,2015-04-22,2015-05-12,yes,R,31,14,FB-Y-112,28,FB-X-188,27,Male,Yes,57,6,color change,,,x,,,,,116,96,20,no,0,0,0
1113,1013,2,5,41,60,60,R,125.7,134.1,color change,2015-04-28,2015-05-18,yes,R,31,14,FB-Y-112,28,FB-X-188,27,Female,Yes,125.7,10,color change,,,x,,,,,122,102,20,no,0,0,0
1114,1014,2,5,41,60,60,R,76,77.5,NA,NA,2015-06-25,slaughtered,R,31,14,FB-Y-112,28,FB-X-188,27,Female,Yes,76,7,NA,,,,,,,,160,160,NA,no,1,1,no
1115,1015,2,5,41,60,60,R,72,83.9,NA,NA,2015-06-25,slaughtered,R,31,14,FB-Y-112,28,FB-X-188,27,Female,Yes,72,7,NA,,,,,,,,160,160,NA,no,1,1,no
1116,1016,2,5,41,48,48,R,102.5,208.7,NA,NA,2015-06-25,slaughtered,R,31,14,FB-Y-156,5,FB-X-343,6,Male,Yes,102.5,9,NA,,,,,,,,160,160,NA,no,1,1,no
1117,1017,2,5,41,48,48,R,131.7,161.2,exopthalmia,2015-04-18,2015-05-12,yes,R,31,14,FB-Y-156,5,FB-X-343,6,Female,Yes,131.7,10,exopthalmia,,,,,,x,,116,92,24,no,0,0,0
1118,1018,2,5,41,48,48,R,94.3,103.5,exopthalmia,2015-04-19,2015-05-18,yes,R,31,14,FB-Y-156,5,FB-X-343,6,Male,Yes,94.3,8,exopthalmia,,,,,,x,,122,93,29,no,0,0,0
1119,1019,2,5,41,48,48,R,129.3,172.4,NA,NA,2015-06-25,slaughtered,R,31,14,FB-Y-156,5,FB-X-343,6,Male,Yes,129.3,10,NA,,,,,,,,160,160,NA,no,1,1,no
1120,1020,2,5,41,48,48,R,99,89.7,belly up,2015-01-30,2015-04-21,yes,R,31,14,FB-Y-156,5,FB-X-343,6,Female,Yes,99,9,belly up,,x,,,,,,95,14,81,no,0,0,0
1121,1021,2,5,41,43,43,R,145.4,191.6,NA,NA,2015-06-25,slaughtered,R,31,14,FB-Y-66,19,FB-X-302,16,Male,Yes,145.4,10,NA,,,,,,,,160,160,NA,no,1,1,no
1122,1022,2,5,41,43,43,R,87.8,156.6,NA,NA,2015-06-25,slaughtered,R,31,14,FB-Y-66,19,FB-X-302,16,Female,Yes,87.8,8,NA,,,,,,,,160,160,NA,no,1,1,no
1123,1023,2,5,41,43,43,R,103.5,95.2,color change,2015-05-07,2015-05-15,yes,R,31,14,FB-Y-66,19,FB-X-302,16,Male,Yes,103.5,9,color change,,,x,,,,,119,111,8,no,0,0,0
1124,1024,2,5,41,43,43,R,66.6,79.6,color change,2015-05-03,2015-05-08,yes,R,31,14,FB-Y-66,19,FB-X-302,16,Female,Yes,66.6,7,color change,,,x,,,,,112,107,5,no,0,0,0
1125,1025,2,5,41,43,43,R,81.5,104.3,NA,NA,2015-06-25,slaughtered,R,31,14,FB-Y-66,19,FB-X-302,16,Female,Yes,81.5,7,NA,,,,,,,,160,160,NA,no,1,1,no
1126,1026,2,6,42,31,31,D,140.4,157.3,NA,NA,2015-06-25,slaughtered,D,D,15,FB-Y-75,20,FB-X-234,29,NA,Yes,140.4,10,NA,,,,,,,,160,160,NA,no,1,no,no
1127,1027,2,6,42,31,31,D,44,40,NA,NA,2015-02-01,yes,D,D,15,FB-Y-75,20,FB-X-234,29,NA,Yes,44,5,NA,,,,,,,,16,NA,NA,no,1,no,no
1128,1028,2,6,42,31,31,D,125.5,155.5,NA,NA,2015-06-25,slaughtered,D,D,15,FB-Y-75,20,FB-X-234,29,NA,Yes,125.5,10,NA,,,,,,,,160,160,NA,no,1,no,no
1129,1029,2,6,42,31,31,D,108.4,99.7,color change,2015-02-08,2015-02-16,yes,D,D,15,FB-Y-75,20,FB-X-234,29,NA,Yes,108.4,9,color change,,,x,,,,,31,23,8,no,1,0,0
1130,1030,2,6,42,31,31,D,154.3,176.3,NA,NA,2015-06-25,slaughtered,D,D,15,FB-Y-75,20,FB-X-234,29,NA,Yes,154.3,10,NA,,,,,,,,160,160,NA,no,1,no,no
1131,1031,2,6,42,55,55,R,74,130.9,NA,NA,2015-06-25,slaughtered,R,31,15,FB-Y-35,15,FB-X-232,28,Male,Yes,74,7,NA,,,,,,,,160,160,NA,no,1,1,no
1132,1032,2,6,42,55,55,R,102.7,127.3,exopthalmia,2015-05-01,2015-05-14,yes,R,31,15,FB-Y-35,15,FB-X-232,28,Female,Yes,102.7,9,exopthalmia,,,,,,x,,118,105,13,no,0,0,0
1133,1033,2,6,42,55,55,R,109.1,144.8,color change,2015-05-15,2015-05-26,yes,R,31,15,FB-Y-35,15,FB-X-232,28,Male,Yes,109.1,9,color change,,,x,,,,,130,119,11,no,0,0,0
1134,1034,2,6,42,55,55,R,74.3,115,NA,NA,2015-06-21,yes,R,31,15,FB-Y-35,15,FB-X-232,28,Male,Yes,74.3,7,NA,,,,,,,,156,NA,NA,no,0,no,no
1135,1035,2,6,42,55,55,R,76.1,75.9,exopthalmia,2015-03-20,2015-03-27,yes,R,31,15,FB-Y-35,15,FB-X-232,28,Male,Yes,76.1,7,exopthalmia,,,,,,x,,70,63,7,no,0,0,0
1136,1036,2,6,42,38,38,R,147.7,241.5,NA,NA,2015-06-25,slaughtered,R,31,15,FB-Y-64,17,FB-X-178,24,Male,Yes,147.7,10,NA,,,,,,,,160,160,NA,no,1,1,no
1137,1037,2,6,42,38,38,R,68.2,98.7,NA,NA,2015-06-25,slaughtered,R,31,15,FB-Y-64,17,FB-X-178,24,Female,Yes,68.2,7,NA,,,,,,,,160,160,NA,no,1,1,no
1138,1038,2,6,42,38,38,R,105.3,130.2,NA,NA,2015-05-28,yes,R,31,15,FB-Y-64,17,FB-X-178,24,Female,Yes,105.3,9,NA,,,,,,,,132,NA,NA,no,0,no,no
1139,1039,2,6,42,38,38,R,117.5,197.3,exopthalmia,2015-05-19,2015-06-10,yes,R,31,15,FB-Y-64,17,FB-X-178,24,Female,Yes,117.5,10,exopthalmia,,,,,,x,,145,123,22,no,0,0,0
1140,1040,2,6,42,38,38,R,65.9,139.2,NA,NA,2015-06-25,slaughtered,R,31,15,FB-Y-64,17,FB-X-178,24,Male,Yes,65.9,7,NA,,,,,,,,160,160,NA,no,1,1,no
1141,1041,2,6,42,48,48,R,78.7,158.4,NA,NA,2015-06-25,slaughtered,R,31,15,FB-Y-156,5,FB-X-343,6,Female,Yes,78.7,7,NA,,,,,,,,160,160,NA,no,1,1,no
1142,1042,2,6,42,48,48,R,101.1,127.2,color change,2015-05-27,2015-05-28,yes,R,31,15,FB-Y-156,5,FB-X-343,6,Female,Yes,101.1,9,color change,,,x,,,,,132,131,1,no,0,0,0
1143,1043,2,6,42,48,48,R,130.3,174.1,color change,2015-06-12,2015-06-22,yes,R,31,15,FB-Y-156,5,FB-X-343,6,Female,Yes,130.3,10,color change,,,x,,,,,157,147,10,no,0,0,0
1144,1044,2,6,42,48,48,R,99.5,118.7,exopthalmia,2015-04-16,2015-05-02,yes,R,31,15,FB-Y-156,5,FB-X-343,6,Female,Yes,99.5,9,exopthalmia,,,,,,x,,106,90,16,no,0,0,0
1145,1045,2,6,42,48,48,R,90.8,149,color change,2015-06-15,2015-06-22,yes,R,31,15,FB-Y-156,5,FB-X-343,6,NA,Yes,90.8,8,color change,,,x,,,,,157,150,7,no,0,0,0
1146,1046,2,6,42,50,70,R,102.3,141.2,exopthalmia,2015-05-21,2015-06-17,yes,R,31,15,FB-Y-89,24,FB-X-7,17,Male,Yes,102.3,9,exopthalmia,,,,,,x,,152,125,27,no,0,0,0
1147,1047,2,6,42,50,70,R,55.3,66.5,exopthalmia,2015-04-13,2015-05-06,yes,R,31,15,FB-Y-89,24,FB-X-7,17,Female,Yes,55.3,6,exopthalmia,,,,,,x,,110,87,23,no,0,0,0
1148,1048,2,6,42,50,70,R,25.9,31.6,color change,2015-03-03,2015-03-17,yes,R,31,15,FB-Y-89,24,FB-X-7,17,Male,Yes,25.9,2,color change,,,x,,,,,60,46,14,no,0,0,0
1149,1049,2,6,42,50,70,R,82.6,130.9,NA,NA,2015-06-25,slaughtered,R,31,15,FB-Y-89,24,FB-X-7,17,Male,Yes,82.6,8,NA,,,,,,,,160,160,NA,no,1,1,no
1150,1050,2,6,42,50,70,R,43.7,65.3,color change,2015-05-15,2015-05-17,yes,R,31,15,FB-Y-89,24,FB-X-7,17,Male,Yes,43.7,5,color change,,,x,,,,,121,119,2,no,0,0,0
1151,1051,2,7,43,31,31,D,131.5,122.6,NA,NA,2015-02-08,yes,D,D,16,FB-Y-75,20,FB-X-234,29,NA,Yes,131.5,10,NA,,,,,,,,23,NA,NA,no,1,no,no
1152,1052,2,7,43,31,31,D,165.4,272.1,NA,NA,2015-06-25,slaughtered,D,D,16,FB-Y-75,20,FB-X-234,29,NA,Yes,165.4,10,NA,,,,,,,,160,160,NA,no,1,no,no
1153,1053,2,7,43,31,31,D,80.4,68.7,NA,NA,2015-02-17,yes,D,D,16,FB-Y-75,20,FB-X-234,29,NA,Yes,80.4,7,NA,,,,,,,,32,NA,NA,no,1,no,no
1154,1054,2,7,43,31,31,D,131.2,206.4,NA,NA,2015-06-25,slaughtered,D,D,16,FB-Y-75,20,FB-X-234,29,NA,Yes,131.2,10,NA,,,,,,,,160,160,NA,no,1,no,no
1155,1055,2,7,43,31,31,D,98,86,color change,2015-03-01,2015-03-09,yes,D,D,16,FB-Y-75,20,FB-X-234,29,NA,Yes,98,9,color change,,,x,,,,,52,44,8,no,1,0,0
1156,1056,2,7,43,9,9,R,92.5,192.5,NA,NA,2015-06-25,slaughtered,R,31,16,FB-Y-88,23,FB-X-5,23,Male,Yes,92.5,8,NA,,,,,,,,160,160,NA,no,1,1,no
1157,1057,2,7,43,9,9,R,174.7,189.9,NA,NA,2015-06-18,yes,R,31,16,FB-Y-88,23,FB-X-5,23,Male,Yes,174.7,10,NA,,,,,,,,153,NA,NA,no,0,no,no
1158,1058,2,7,43,9,9,R,152,175.9,exophthamia+ fish colour darken,2015-05-13,2015-05-14,yes,R,31,16,FB-Y-88,23,FB-X-5,23,Female,Yes,152,10,exophthamia+ fish colour darken,,,,,,x,,118,117,1,no,0,0,0
1159,1059,2,7,43,9,9,R,94.6,204.2,NA,NA,2015-06-25,slaughtered,R,31,16,FB-Y-88,23,FB-X-5,23,Male,Yes,94.6,8,NA,,,,,,,,160,160,NA,no,1,1,no
1160,1060,2,7,43,9,9,R,119,171.5,NA,NA,2015-06-25,slaughtered,R,31,16,FB-Y-88,23,FB-X-5,23,Male,Yes,119,10,NA,,,,,,,,160,160,NA,no,1,1,no
1161,1061,2,7,43,47,47,R,116.3,125.1,exopthalmia,2015-04-30,2015-05-28,yes,R,31,16,FB-Y-131,30,FB-X-232,28,Female,Yes,116.3,10,exopthalmia,,,,,,x,,132,104,28,no,0,0,0
1162,1062,2,7,43,47,47,R,89.9,91,color change,2015-05-16,2015-05-17,yes,R,31,16,FB-Y-131,30,FB-X-232,28,Female,Yes,89.9,8,color change,,,x,,,,,121,120,1,no,0,0,0
1163,1063,2,7,43,47,47,R,109.7,100.1,color change,2015-05-12,2015-05-22,yes,R,31,16,FB-Y-131,30,FB-X-232,28,Female,Yes,109.7,9,color change,,,x,,,,,126,116,10,no,0,0,0
1164,1064,2,7,43,47,47,R,76.4,109.7,color change,2015-05-16,2015-05-17,yes,R,31,16,FB-Y-131,30,FB-X-232,28,Male,Yes,76.4,7,color change,,,x,,,,,121,120,1,no,0,0,0
1165,1065,2,7,43,47,47,R,76.9,56.9,color change,2015-04-27,2015-05-11,yes,R,31,16,FB-Y-131,30,FB-X-232,28,NA,Yes,76.9,7,color change,,,x,,,,,115,101,14,no,0,0,0
1166,1066,2,7,43,45,45,R,46.9,113.6,exopthalmia,2015-05-07,2015-05-25,yes,R,31,16,FB-Y-64,17,FB-X-188,27,Male,Yes,46.9,5,exopthalmia,,,,,,x,,129,111,18,no,0,0,0
1167,1067,2,7,43,45,45,R,121.6,139.8,color change,2015-05-31,2015-06-02,yes,R,31,16,FB-Y-64,17,FB-X-188,27,NA,Yes,121.6,10,color change,,,x,,,,,137,135,2,no,0,0,0
1168,1068,2,7,43,45,45,R,98.4,143.2,NA,NA,2015-06-25,slaughtered,R,31,16,FB-Y-64,17,FB-X-188,27,Female,Yes,98.4,9,NA,,,,,,,,160,160,NA,no,1,1,no
1169,1069,2,7,43,45,45,R,120.8,120.5,color change,2015-05-24,2015-05-25,yes,R,31,16,FB-Y-64,17,FB-X-188,27,Female,Yes,120.8,10,color change,,,x,,,,,129,128,1,no,0,0,0
1170,1070,2,7,43,45,45,R,66.3,81,color change,2015-05-09,2015-05-14,yes,R,31,16,FB-Y-64,17,FB-X-188,27,Female,Yes,66.3,7,color change,,,x,,,,,118,113,5,no,0,0,0
1171,1071,2,7,43,53,53,R,70.9,90.7,color change,2015-05-19,2015-05-23,yes,R,31,16,FB-Y-100,34,FB-X-279,12,Male,Yes,70.9,7,color change,,,x,,,,,127,123,4,no,0,0,0
